Gender,University_Ranking,Updated_University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Job_Offers,Current_Job_Level,Job_Status
Male,291,9.5,Arts,3,7,2,9,5,Entry,Yes
Other,112,9.5,Law,4,7,3,8,4,Mid,Yes
Female,715,8.5,Medicine,4,8,1,1,0,Entry,Yes
Male,170,8.5,Computer Science,3,9,1,10,1,Mid,Yes
Male,599,7.0,Engineering,4,6,4,10,4,Entry,Yes
Male,631,9.5,Law,2,3,2,2,1,Entry,No
Male,610,9.5,Computer Science,0,1,3,3,2,Mid,No
Male,240,8.5,Computer Science,1,5,5,5,2,Entry,No
Male,337,9.5,Business,2,3,0,5,2,Entry,No
Male,138,7.0,Computer Science,1,5,3,10,0,Senior,No
Female,594,8.5,Mathematics,2,7,5,8,5,Entry,No
Female,236,9.5,Law,2,2,3,2,5,Mid,No
Female,648,8.5,Engineering,2,0,5,2,2,Senior,No
Male,794,8.5,Arts,0,4,3,8,2,Entry,No
Male,3,7.0,Business,1,2,3,1,1,Entry,No
Female,571,9.5,Computer Science,3,5,2,9,3,Senior,Yes
Female,116,9.5,Law,3,2,3,2,3,Mid,Yes
Male,472,9.5,Mathematics,4,0,5,5,5,Senior,Yes
Female,131,9.5,Mathematics,0,8,5,3,5,Entry,Yes
Female,934,9.5,Mathematics,0,4,1,5,2,Senior,No
Female,898,8.5,Medicine,0,1,5,8,5,Entry,No
Male,483,9.5,Business,2,1,1,8,3,Senior,No
Female,401,9.5,Engineering,0,8,5,6,2,Senior,Yes
Female,201,9.5,Medicine,3,0,3,9,2,Mid,Yes
Female,292,9.5,Engineering,0,9,5,7,0,Mid,Yes
Female,342,9.5,Medicine,2,2,1,2,4,Entry,No
Female,991,7.0,Arts,1,9,2,1,3,Entry,No
Female,610,7.0,Engineering,0,6,0,8,2,Entry,No
Male,216,9.5,Medicine,1,0,3,1,3,Mid,No
Female,636,9.5,Mathematics,4,1,5,8,0,Executive,Yes
Female,585,9.5,Engineering,2,5,1,9,0,Senior,Yes
Female,366,8.5,Business,0,8,1,1,2,Entry,No
Male,890,8.5,Engineering,4,8,2,7,3,Mid,Yes
Male,642,9.5,Law,4,7,5,5,3,Entry,Yes
Female,469,9.5,Engineering,1,2,2,8,3,Entry,No
Female,418,9.5,Medicine,3,1,0,4,0,Entry,Yes
Female,27,8.5,Engineering,3,0,5,2,1,Executive,No
Female,677,9.5,Arts,3,8,4,7,1,Entry,Yes
Female,455,9.5,Computer Science,3,4,4,7,3,Entry,Yes
Female,918,9.5,Business,2,2,5,8,3,Entry,No
Female,580,7.0,Law,0,9,4,9,4,Mid,Yes
Female,14,8.5,Mathematics,0,9,0,6,2,Entry,No
Female,98,9.5,Medicine,2,4,3,3,0,Senior,No
Male,279,7.0,Mathematics,1,2,4,5,4,Entry,No
Male,940,9.5,Mathematics,0,8,4,3,3,Entry,Yes
Female,490,8.5,Engineering,4,0,5,10,5,Mid,Yes
Male,985,9.5,Engineering,0,0,1,9,1,Entry,Yes
Male,961,8.5,Engineering,2,2,1,5,1,Mid,No
Male,883,7.0,Business,1,5,3,7,4,Mid,No
Male,759,9.5,Law,0,1,5,10,1,Mid,Yes
Male,624,9.5,Computer Science,2,0,2,7,1,Senior,No
Male,207,7.0,Arts,4,7,0,7,5,Senior,Yes
Female,864,7.0,Law,3,9,4,10,2,Mid,Yes
Female,846,9.5,Arts,4,8,5,4,3,Executive,Yes
Male,233,7.0,Mathematics,4,9,5,4,4,Entry,Yes
Male,573,9.5,Law,1,0,0,3,5,Senior,No
Female,597,8.5,Medicine,0,2,1,4,0,Entry,No
Male,695,9.5,Computer Science,3,4,0,9,0,Entry,Yes
Female,239,9.5,Computer Science,2,6,1,5,5,Senior,Yes
Female,250,9.5,Business,3,9,0,6,3,Entry,Yes
Female,583,7.0,Law,0,3,1,4,0,Entry,No
Male,740,9.5,Engineering,1,5,0,1,5,Entry,No
Female,597,8.5,Computer Science,0,0,4,7,1,Entry,No
Male,306,9.5,Law,2,3,4,7,2,Entry,No
Female,1000,8.5,Engineering,3,7,3,6,4,Entry,Yes
Female,908,9.5,Business,4,4,0,4,4,Mid,Yes
Male,463,7.0,Mathematics,0,7,2,10,1,Mid,Yes
Male,783,9.5,Mathematics,1,0,3,8,3,Mid,No
Male,913,8.5,Law,1,9,0,8,2,Entry,No
Female,802,8.5,Law,3,8,2,1,0,Senior,Yes
Male,236,7.0,Medicine,4,3,4,9,4,Entry,Yes
Female,291,7.0,Law,2,8,4,8,4,Entry,No
Male,39,7.0,Medicine,4,7,5,2,3,Senior,Yes
Female,998,8.5,Engineering,3,7,4,9,2,Mid,Yes
Female,718,9.5,Mathematics,4,1,5,4,5,Executive,Yes
Female,183,8.5,Engineering,3,2,2,10,0,Entry,Yes
Female,699,9.5,Mathematics,4,9,1,6,4,Mid,Yes
Male,645,7.0,Mathematics,0,8,0,2,4,Entry,No
Male,30,9.5,Computer Science,1,2,3,10,0,Senior,Yes
Female,388,8.5,Business,3,7,5,4,2,Entry,Yes
Male,767,9.5,Medicine,3,4,3,2,2,Entry,Yes
Male,143,9.5,Mathematics,1,6,4,9,2,Entry,Yes
Male,615,8.5,Computer Science,2,3,1,9,4,Mid,No
Male,419,9.5,Arts,3,7,5,5,5,Entry,Yes
Male,74,7.0,Computer Science,0,3,0,3,1,Executive,No
Female,55,9.5,Engineering,4,4,5,3,4,Senior,Yes
Male,962,7.0,Arts,0,0,0,1,3,Senior,No
Female,748,8.5,Computer Science,3,9,3,8,3,Senior,Yes
Male,572,7.0,Law,2,7,3,3,5,Senior,No
Female,24,9.5,Business,3,6,3,4,4,Senior,Yes
Male,988,8.5,Medicine,2,4,0,2,4,Senior,No
Female,22,9.5,Law,1,5,5,8,0,Senior,No
Female,428,9.5,Arts,4,0,3,3,2,Entry,Yes
Male,32,7.0,Mathematics,0,7,0,2,5,Entry,No
Female,863,9.5,Business,2,8,4,1,0,Mid,Yes
Other,339,9.5,Mathematics,0,4,5,10,5,Entry,Yes
Female,947,9.5,Computer Science,1,9,5,2,3,Entry,Yes
Female,981,9.5,Law,3,6,5,2,3,Mid,Yes
Male,515,9.5,Engineering,2,9,1,4,1,Mid,Yes
Female,512,9.5,Engineering,4,3,3,1,2,Mid,Yes
Male,70,7.0,Business,2,5,0,1,2,Executive,No
